bank,time,ProfitAfterTax,LoanNadvance,POLA,Off balance sheet item,POB,Total earning assets,POOEA,TOTAL deposit,POD,Fixed assets,POF,Labor,POL
13,7,4013,564332,0.007533,112819,0.107021,2527,0.003302,560696,0.054664,15586,0.026177,13547,0.604636
14,7,4486,146470,0.004,30500,0.105,163110,0.77509397,166851,0.076,2661,0.094,2649,0.782
15,7,3307,119830,0.081457064,32161,0.303504,12252,0.796982,124535,0.072325,2675,0.06729,1922,0.866285
16,7,2480,179165,0.011648,65616,0.064237,2218,0.009526,200009,0.075102,3311,0.069465,2465,0.96714
17,7,776,84062,0.025778592,40229,0.068632081,10612,0.083718582,98601,0.083254734,3165,0.044233807,2145,0.8004662
1,8,4765,149934,0.055,49954,0.207,15120,0.065,149548,0.058,4038,0.223,7700,0.385
2,8,3020,152270,0.041,55015,0.108,10180,0.041,186765,0.033,4519,0.337,5201,0.554
3,8,4516,143088,0.053,50126,0.121,6432,0.031,143729,0.053,3516,0.249,2716,1.166
4,8,1393,126338,0.093464,182800,0.021926,1457,0.00797,154869,0.076245,3325,0.090827,2117,0.850732
5,8,2811,97589,0.082304,35029,0.107597,4683,0.032059,118405,0.06694,3182,0.114079,1801,1.132149
6,8,2698,106749,0.0653,61444,0.0731,4243,0.0275,131252,0.0564,1512,0.3221,1976,0.9884
7,8,1963,91217,0.082397,4050,1.079259,4050,0.030854,108700,0.069154,2421,0.099546,1378,0.86357
8,8,3139,151865,0.093879,240907,0.025595,26149,0.097818,194825,0.073173,6516,0.06062,2934,1.223926
9,8,5517,168878,0.086785,88522,0.074433,4813,0.018461,210431,0.069648,7885,0.042993,2376,0.598906
10,8,7252,197413,0.074519,150713,0.047408,19087,0.064956,220866,0.066606,8586,0.077568,3837,1.028668
11,8,2221,130226,0.072,65472,0.076,4212,0.022,127990,0.078,5943,0.083628,1577,1.664553
12,8,887,123269,0.072257,47779,0.091902,4736,0.026557,146820,0.060666,3230,0.136842,2489,0.896344
13,8,3291,629631,0.00669,133379,0.10096,3751,0.004366,615359,0.0467,15836,0.026269,13622,0.644252
14,8,4563,162503,0.003,34580,0.105,171499,0.748557436,169887,0.066,3057,0.09,2810,0.839
15,8,3479,143338,0.068900082,43096,0.229163,10198,0.05662,149773,0.060458,3072,0.0625,2130,1.038498
16,8,2192,197536,0.010854,69852,0.064866,2517,0.009493,224770,0.075931,5635,0.040106,2700,0.932963
17,8,1758,96835,0.015541901,43525,0.065640437,11288,0.081874229,109259,0.063546252,3299,0.041830858,2156,0.825602968
1,9,7063,175841,0.037,57211,0.202,16664,0.058,181479,0.039,4460,0.203,6355,0.521
2,9,1762,173397,0.032,60051,0.115,14328,0.052,207234,0.026,4871,0.323,6127,0.5
3,9,5466,175025,0.045,61020,0.156,7723,0.031,174695,0.054,3473,0.261,2986,1.259
4,9,2227,150912,0.071234,204127,0.017563,1082,0.005301,165257,0.06505,3175,0.11874,2043,1.208517
5,9,3408,114356,0.070525,45135,0.090994,5530,0.03344,131272,0.057156,3140,0.124204,1889,1.194283
6,9,2946,132084,0.0659,70895,0.0839,5435,0.0289,153428,0.0552,1970,0.1188,2028,1.109
7,9,3320,113723,0.066108,4856,1.008443,4856,0.031414,125490,0.059909,2406,0.119285,1511,0.898743
8,9,3195,170211,0.062722,246939,0.025375,21864,0.080316,197934,0.053932,6590,0.057663,2961,1.232692
9,9,5290,191856,0.066534,113910,0.054411,3101,0.010627,229973,0.055507,8947,0.045043,2616,0.66552
10,9,5189,223697,0.054511,171169,0.051394,27870,0.084526,257704,0.047415,8380,0.0858,4152,1.249759
11,9,2656,152084,0.053,72129,0.07,4032,0.019,140284,0.058,5940,0.044108,1584,1.820076
12,9,1214,137118,0.059671,52602,0.096308,5752,0.02919,160155,0.051332,3488,0.101491,2536,0.996845
13,9,4465,676748,0.007301,169749,0.104195,2940,0.003138,681352,0.043069,15926,0.060467,13569,0.944285
14,9,5963,196519,0.003,44988,0.089,20953,0.07677904,199703,0.05,3240,0.09,3070,0.882
15,9,4192,186506,0.05685608,59851,0.177173,13529,0.059415,190564,0.050083,3257,0.078293,2363,1.037241
16,9,2934,223396,0.010179,70600,0.071034,9819,0.033727,248223,0.060345,5669,0.034927,2747,0.996724
17,9,2306,122998,0.010935137,63325,0.049711804,12005,0.07178092,124410,0.056153042,3433,0.04223711,2191,0.868096759
1,10,8284,203431,0.04,68250,0.209,20548,0.064,216930,0.038,5610,0.15,6835,0.636
2,10,2445,207257,0.025,70501,0.122,17040,0.054,233796,0.021,5433,0.341,6816,0.518
3,10,5152,196596,0.042,98845,0.082,6968,0.026,183493,0.051,3277,0.316,3230,1.351
4,10,3017,199660,0.064595,260169,0.011681,2529,0.009721,220516,0.058486,3057,0.123978,2192,1.13458
5,10,3916,145607,0.054187,60805,0.07506,7264,0.036004,151776,0.051734,3211,0.133603,2004,1.198603
6,10,3345,170393,0.0545,73062,0.0886,7567,0.0333,158321,0.0549,2095,0.1298,2101,1.228
7,10,4320,135891,0.060791,9334,0.57328,9334,0.051236,14060,0.587624,2370,0.116034,1562,1.110115
8,10,3059,198323,0.049793,256567,0.026636,22903,0.081426,199014,0.04962,6434,0.05673,3499,1.092598
9,10,4182,234316,0.057068,142496,0.052479,3835,0.011305,269828,0.049557,9321,0.048815,2704,0.681583
10,10,5461,261002,0.04631,197973,0.048335,28218,0.077668,278195,0.043477,8344,0.092162,4459,1.306571
11,10,2505,184027,0.048,100616,0.056,5620,0.022,167348,0.052,5923,0.042715,1594,2.017566
12,10,2068,179264,0.052626,58620,0.091232,10277,0.040581,200206,0.047146,3528,0.081633,2512,1.032245
13,10,4678,748673,0.006036,139246,0.134661,6306,0.005895,755022,0.041566,15732,0.057208,13760,0.995276
14,10,5432,235905,0.002,57040,0.089,25636,0.080299447,244806,0.048,3260,0.097,3446,1.03
15,10,3535,223127,0.053090841,67569,0.175317,16439,0.059487,228798,0.046159,3480,0.075287,2599,1.115429
16,10,3193,255033,0.00945,90707,0.055486,12123,0.036308,283643,0.05587,5574,0.036957,2794,1.034359
17,10,2079,158668,0.008394887,89225,0.041725974,12386,0.059580732,145382,0.057909507,3957,0.039929239,2402,0.926727727
